case_id,required_fragment_id,role,source_type,matcher_note,current_frontend_received,current_role_usable,deterministic_retrieved,embedding_retrieved,combined_retrieved,langextract_retrieved,notes
airline__10::t19,airline__10::t19#rf00,ACTION,ASSISTANT,,yes:claim_frontend,1,1,1,1,,"Я проверил доступные рейсы на конец мая. К сожалению, ситуация с ценами на бизне"
airline__21::t7,airline__21::t7#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,"Before taking any actions that update the booking database (booking, modifying f"
airline__21::t7,airline__21::t7#rf01,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,"There are three membership levels: **regular**, **silver**, **gold**."
airline__21::t7,airline__21::t7#rf02,RULE,SYSTEM,confirmation-before-update rule,yes:policy_frontend,1,1,0,1,,"Before taking any actions that update the booking database (booking, modifying f"
airline__21::t7,airline__21::t7#rf03,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""user_id"": ""sofia_kim_7287"", ""name"": {""first_name"": ""Sofia"", ""last_name"": ""Kim"""
airline__21::t7,airline__21::t7#rf04,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""reservation_id"": ""AQLBTL"", ""user_id"": ""sofia_kim_7287"", ""origin"": ""LAX"", ""dest"
airline__21::t7,airline__21::t7#rf05,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""user_id"": ""sofia_kim_7287"", ""name"": {""first_name"": ""Sofia"", ""last_name"": ""Kim"""
airline__21::t7,airline__21::t7#rf06,EVIDENCE,USER,user confirmation turn,no,0,1,1,1,,Здравствуйте! Мне нужно срочно изменить обратный рейс для моей поездки из Хьюсто
airline__21::t7,airline__21::t7#rf07,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""nonfree_baggages"": 1, ""payment_id"": ""gift_card_7480005"", ""reservation_id"": ""OB"
airline__23::t10,airline__23::t10#rf00,SCHEMA,TOOL_SCHEMA,,no,0,1,0,1,,user_id: string! — The ID of the user to book the reservation such as 'sara_doe_
airline__23::t10,airline__23::t10#rf01,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""cabin"": ""business"", ""destination"": ""SFO"", ""flight_type"": ""round_trip"", ""flight"
airline__23::t10,airline__23::t10#rf02,EVIDENCE,TOOL_RESULT,payment objects from user profile,no,0,0,1,1,,"{""user_id"": ""mohamed_silva_9265"", ""name"": {""first_name"": ""Mohamed"", ""last_name"":"
airline__44::t22,airline__44::t22#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,"- The API does not check these for the agent, so the agent must make sure the ru"
airline__44::t22,airline__44::t22#rf01,RULE,SYSTEM,cancellation conditions,yes:policy_frontend,1,1,0,1,,- The user has travel insurance and the reason for cancellation is covered by in
airline__44::t22,airline__44::t22#rf02,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,The current time is 2024-05-15 15:00:00 EST.
airline__44::t22,airline__44::t22#rf03,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""reservation_id"": ""NM1VX1"", ""user_id"": ""sophia_silva_7557"", ""origin"": ""MSP"", ""d"
