[q-extract/blockrun] 46 cases, 0 done
[q-extract/blockrun] airline__10::t19 -> OK rules=24 grounded=18
[q-extract/blockrun] airline__10::t21 -> FAILED rules=None grounded=None
[q-extract/blockrun] airline__21::t7 -> FAILED rules=None grounded=None
[q-extract/blockrun] airline__23::t10 -> FAILED rules=None grounded=None
[q-extract/blockrun] airline__24::t14 -> FAILED rules=None grounded=None
[q-extract/blockrun] airline__3::t4 -> FAILED rules=None grounded=None
[q-extract/blockrun] airline__44::t22 -> OK rules=19 grounded=15
[q-extract/blockrun] airline__47::t1 -> FAILED rules=None grounded=None
[q-extract/blockrun] airline__5::t1 -> FAILED rules=None grounded=None
[q-extract/blockrun] airline__7::t6 -> FAILED rules=None grounded=None
[q-extract/blockrun] airline__8::t7 -> OK rules=17 grounded=9
[q-extract/blockrun] airline__9::t6 -> FAILED rules=None grounded=None
[q-extract/blockrun] banking_knowledge__task_003::t7 -> OK rules=11 grounded=9
[q-extract/blockrun] banking_knowledge__task_005::t6 -> OK rules=11 grounded=9
[q-extract/blockrun] banking_knowledge__task_018::t6 -> OK rules=12 grounded=9
[q-extract/blockrun] banking_knowledge__task_033::t2 -> OK rules=3 grounded=0
[q-extract/blockrun] banking_knowledge__task_051::t15 -> OK rules=24 grounded=18
[q-extract/blockrun] banking_knowledge__task_057::t2 -> FAILED rules=None grounded=None
[q-extract/blockrun] banking_knowledge__task_063::t8 -> OK rules=11 grounded=9
[q-extract/blockrun] banking_knowledge__task_068::t11 -> OK rules=10 grounded=8
[q-extract/blockrun] banking_knowledge__task_080::t30 -> OK rules=16 grounded=9
[q-extract/blockrun] banking_knowledge__task_081::t35 -> OK rules=12 grounded=9
[q-extract/blockrun] banking_knowledge__task_083::t10 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__106::t3 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__108::t1 -> OK rules=10 grounded=10
[q-extract/blockrun] retail__12::t4 -> OK rules=21 grounded=18
[q-extract/blockrun] retail__14::t1 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__27::t10 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__29::t13 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__36::t10 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__47::t12 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__48::t4 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__78::t1 -> FAILED rules=None grounded=None
[q-extract/blockrun] retail__87::t6 -> OK rules=26 grounded=22
[q-extract/blockrun] telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-break_app_sms_p::t7 -> OK rules=9 grounded=0
[q-extract/blockrun] telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7 -> FAILED rules=None grounded=None
[q-extract/blockrun] telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10 -> FAILED rules=None grounded=None
[q-extract/blockrun] telecom__mms_issueairplane_mode_on-bad_network_preference-break_app_both_permissions-data_::t12 -> OK rules=12 grounded=0
[q-extract/blockrun] telecom__mms_issueairplane_mode_on-bad_wifi_calling-break_app_both_permissions-data_mode_o::t15 -> FAILED rules=None grounded=None
[q-extract/blockrun] telecom__mms_issueairplane_mode_on-break_app_both_permissionsPERSONA_Hard::t8 -> OK rules=16 grounded=0
[q-extract/blockrun] telecom__mms_issuebad_network_preference-bad_wifi_calling-break_apn_mms_setting-break_app_::t7 -> OK rules=20 grounded=0
[q-extract/blockrun] telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27 -> FAILED rules=None grounded=None
[q-extract/blockrun] telecom__mobile_data_issueairplane_mode_on-bad_network_preference-bad_vpn-data_saver_mode_::t7 -> FAILED rules=None grounded=None
[q-extract/blockrun] telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6 -> FAILED rules=None grounded=None
[q-extract/blockrun] telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15 -> OK rules=2 grounded=1
[q-extract/blockrun] telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13 -> FAILED rules=None grounded=None
