case_id,mechanism,classification,survives_C3,required_violations,type_violations,enum_violations,additional_violations,out_of_catalog_calls
airline__21::t7,D: extra-field rejection (ADDITIONAL=12),CLOSURE_ASSUMPTION,no,0,0,0,12,0
airline__23::t10,"A: explicit required field (source '!' syntax); REQUIRED=16, ADDITIONAL=34",SOURCE_EXPLICIT (required) + CLOSURE_ASSUMPTION (extra fields ignored),yes,16,0,0,34,0
airline__44::t22,D: extra-field rejection (ADDITIONAL=6),CLOSURE_ASSUMPTION,no,0,0,0,6,0
banking_knowledge__task_003::t7,F: policy/goal mechanism (frozen H0 policy path),"MODEL_SEMANTIC (policy witness, config-invariant)",yes,0,0,0,0,0
banking_knowledge__task_018::t6,F: policy/goal mechanism (frozen H0 policy path),"MODEL_SEMANTIC (policy witness, config-invariant)",yes,0,0,0,0,0
banking_knowledge__task_083::t10,E: tool-catalog closed-world assumption (out-of-catalog call),CLOSURE_ASSUMPTION,no,0,0,0,0,1
telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7,E: tool-catalog closed-world assumption (out-of-catalog call),CLOSURE_ASSUMPTION,no,0,0,0,0,1
telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10,E: tool-catalog closed-world assumption (out-of-catalog call),CLOSURE_ASSUMPTION,no,0,0,0,0,4
telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6,E: tool-catalog closed-world assumption (out-of-catalog call),CLOSURE_ASSUMPTION,no,0,0,0,0,1
telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15,E: tool-catalog closed-world assumption (out-of-catalog call),CLOSURE_ASSUMPTION,no,0,0,0,0,2
