id,prompt,response
f01,none,"⟦ASSISTANT⟧ If you confirm seat 17A I will change your ticket tomorrow."
f02,none,"⟦ASSISTANT⟧ Пожалуйста, отсканируйте QR-код на посылке и пришлите результат."
f03,none,"⟦ASSISTANT⟧ Возврат за заказ OR-81 уже обработан."
f04,none,"⟦ASSISTANT⟧ Билет TK-9 пока не выписан в системе."
f05,none,"⟦ASSISTANT⟧ Сейчас соединяю вас со специалистом по бронированию."
f06,none,"⟦ASSISTANT⟧ I cannot exchange this item with the available tools."
f07,none,"⟦ASSISTANT⟧ Проверка адреса клиента успешно завершена."
f08,none,"⟦ASSISTANT⟧ I can send the receipt after the charge settles."
f09,none,"⟦ASSISTANT⟧ The package is marked delivered in the latest tracking result."
f10,none,"⟦ASSISTANT⟧ Please run the network test on your router and share the output."
f11,none,"⟦ASSISTANT⟧ The payment operator approved the refund yesterday."
f12,none,"⟦ASSISTANT⟧ Подтвердите отмену и после этого я оформлю её."
f13,none,"⟦ASSISTANT⟧ На складе нет нужного размера, поэтому отправку сейчас выполнить нельзя."
f14,none,"⟦ASSISTANT⟧ Другого способа помочь с этой заявкой у меня нет."
f15,none,"⟦ASSISTANT⟧ I completed the exchange for order OR-81."
f16,none,"⟦ASSISTANT⟧ Позже запрошу согласование у отдела платежей."
